Publication,Location,Precipitation,GDD,Yield,Location_2
"Fike et al., 2006","Blacksburg, VA B",524,2682.9,10.7,NOTNS
"Fike et al., 2006","Orange, VA",726,3158,11.6,NOTNS
"Fuentes and Taliaferro, 2002","Haskell, OK",684.784,3305.3,19,NOTNS
"Fuentes and Taliaferro, 2002","Haskell, OK",760.222,3296.4,18.5,NOTNS
"Fuentes and Taliaferro, 2002","Haskell, OK",934.212,3242.8,15.3,NOTNS
"Fuentes and Taliaferro, 2002","Haskell, OK",743.966,3193.6,9.7,NOTNS
"Fuentes and Taliaferro, 2002","Haskell, OK",509.016,3651.9,13.4,NOTNS
"Fuentes and Taliaferro, 2002","Haskell, OK",824.992,3357.2,11,NOTNS
"Fuentes and Taliaferro, 2002","Haskell, OK",669.798,3377.8,15.1,NOTNS
"Fuentes and Taliaferro, 2002","Chickasha, OK",425.45,3438.1,11.4,NOTNS
"Fuentes and Taliaferro, 2002","Chickasha, OK",763.27,3269.4,18.5,NOTNS
"Fuentes and Taliaferro, 2002","Chickasha, OK",781.812,3478.1,10.5,NOTNS
"Fuentes and Taliaferro, 2002","Chickasha, OK",543.56,3368.1,8.9,NOTNS
"Fuentes and Taliaferro, 2002","Chickasha, OK",222.758,3886.1,6.7,NOTNS
"Fuentes and Taliaferro, 2002","Chickasha, OK",538.226,3554.2,12.7,NOTNS
"Fuentes and Taliaferro, 2002","Chickasha, OK",429.514,3629.2,10.9,NOTNS
"Kering et al., 2012a","Burneyville, OK",902,3971.9,19.5,NOTNS
"Kering et al., 2012a","Burneyville, OK",563,4275,16,NOTNS
"Kering et al., 2012b","Ardmore, OK",458,4273.1,3.9,NOTNS
"Kering et al., 2012b","Ardmore, OK",979,4116.9,6.7,NOTNS
"Kering et al., 2012b","Ardmore, OK",646,4086.7,8.8,NOTNS
"Kering et al., 2012b","Waurika, OK",728,4073.6,7.9,NOTNS
"Kering et al., 2012b","Waurika, OK",803,3896.9,8.4,NOTNS
"Kering et al., 2012b","Waurika, OK",618,4196.7,12.2,NOTNS
"Lee and Boe, 2005","Pierre, SD site 1",289.56,2637.2,5.97,NOTNS
"Lee and Boe, 2005","Pierre, SD site 2",289.56,2637.2,5.29,NOTNS
"Makaju et al., 2013","Stillwater, OK",1207,3771.4,4.99,NOTNS
"Makaju et al., 2013","Stillwater, OK",689,3662.5,5.42,NOTNS
"Makaju et al., 2013","Stillwater, OK",927,3580.8,7.11,NOTNS
"Mooney et al., 2009","Milan, TN",1114.806,3646.1,2.37,NOTNS
"Mooney et al., 2009","Milan, TN",1114.806,3646.1,2.96,NOTNS
"Mooney et al., 2009","Milan, TN",1114.806,3646.1,1.59,NOTNS
"Mooney et al., 2009","Milan, TN",1114.806,3646.1,2.22,NOTNS
"Mooney et al., 2009","Milan, TN",888.746,3625,11.13,NOTNS
"Mooney et al., 2009","Milan, TN",888.746,3625,11.65,NOTNS
"Mooney et al., 2009","Milan, TN",888.746,3625,6.74,NOTNS
"Mooney et al., 2009","Milan, TN",888.746,3625,8.89,NOTNS
"Mooney et al., 2009","Milan, TN",795.782,3630.3,15.59,NOTNS
"Mooney et al., 2009","Milan, TN",795.782,3630.3,22.87,NOTNS
"Mooney et al., 2009","Milan, TN",795.782,3630.3,10.55,NOTNS
"Mooney et al., 2009","Milan, TN",795.782,3630.3,17.96,NOTNS
"Hopkins et al., 1995","Mead, NE",504.5,1720.6,13.436,NOTNS
"Hopkins et al., 1995","Ames, IA",656,2582.5,12.226,NOTNS
"Hopkins et al., 1995","West Lafayette, IN",574,2763.6,13.764,NOTNS
"Reynolds et al., 2000","Knoxville, TN",740.664,3218.9,11.4,NOTNS
"Reynolds et al., 2000","Knoxville, TN",773.176,3127.2,18,NOTNS
"Reynolds et al., 2000","Knoxville, TN",512.826,3339.7,20.2,NOTNS
"Reynolds et al., 2000","Knoxville, TN",693.928,3158.3,20,NOTNS
"Reynolds et al., 2000","Knoxville, TN",842.264,3048.3,17.6,NOTNS
"Madakadze et al., 1998","Montreal, CA",578,2077.7,11.8,NOTNS
"Madakadze et al., 1998","Montreal, CA",653.4,2075.8,11.84,NOTNS
"Heaton et al., 2008","Dixon Springs, IL",608.84,3779,7.8,NOTNS
"Heaton et al., 2008","Dixon Springs, IL",649.48,3620,9.1,NOTNS
"Roozeboom, 2018","Manhattan, KS",641.35,2969.539333,3.6,NOTNS
"Roozeboom, 2018","Manhattan, KS",827.786,3042.777778,7.2,NOTNS
"Roozeboom, 2018","Manhattan, KS",682.498,2693.055556,9.1,NOTNS
"Roozeboom, 2018","Manhattan, KS",702.818,2925.555556,7.9,NOTNS
"Roozeboom, 2018","Manhattan, KS",504.19,3119.444444,14.4,NOTNS
"Roozeboom, 2018","Manhattan, KS",627.38,2893.333333,14.3,NOTNS
"Roozeboom, 2018","Manhattan, KS",537.718,2955.555556,17.6,NOTNS
"Roozeboom, 2018","Manhattan, KS",718.058,3027.222222,10.9,NOTNS
"Roozeboom, 2018","Manhattan, KS",889.762,3121.666667,13,NOTNS
"Roozeboom, 2018","Manhattan, KS",522.224,2991.944444,14.3,NOTNS
"Lemus et al., 2014","Princeton, KY, USA",592.6,3181.4,12.6,NOTNS
"Lemus et al., 2014","Princeton, KY, USA",739.1,3220.8,13.1,NOTNS
"Lemus et al., 2014","Knoxville, TN, USA",616,3016.7,15.6,NOTNS
"Lemus et al., 2014","Knoxville, TN, USA",610.4,2950,18.1,NOTNS
"Lemus et al., 2014","Blacksburg A, VA, USA",599.4,2316.1,11.3,NOTNS
"Lemus et al., 2014","Blacksburg A, VA, USA",540.8,2293.9,10.9,NOTNS
"Lemus et al., 2014","Blacksburg B, VA, USA",599.4,2316.1,15,NOTNS
"Lemus et al., 2014","Blacksburg B, VA, USA",540.8,2293.9,19.9,NOTNS
"Lemus et al., 2014","Orange, VA, USA",928.1,2796.4,15.6,NOTNS
"Lemus et al., 2014","Orange, VA, USA",468.6,2861.4,15.6,NOTNS
"Lemus et al., 2014","Morgantown, WV, USA",606,2525,15.1,NOTNS
"Lemus et al., 2014","Morgantown, WV, USA",551.18,2555.833,17.8,NOTNS
"Haque et al., 2009","Stillwater, OK, USA",548.9,3314.4,8.7,NOTNS
"Schmer et al., 2006","Lawrence, NE, USA",352.044,2678.889,4.38,NOTNS
"Schmer et al., 2006","Atkinson, NE, USA",280.4,2656.1,1.56,NOTNS
"Schmer et al., 2006","Crofton, NE, USA",446,2480.6,4.78,NOTNS
"Schmer et al., 2006","Ethan, SD, USA",367.5,2655.6,2.6,NOTNS
"Schmer et al., 2006","Huron, SD, USA",268.2,2392.2,4.84,NOTNS
"Schmer et al., 2006","Highmore, SD, USA",376.2,2145.8,1.13,NOTNS
"Schmer et al., 2006","Streeter, ND, USA",357.2,1858.6,4.64,NOTNS
"Schmer et al., 2006","Munich, ND, USA",236.7,1726.1,4.24,NOTNS
Thomas 2016,"Nappan, NS",522.3,1695.6,4.745,NS
Thomas 2016,"Nappan, NS",788.9,1746.8,3.762,NS
Thomas 2016,"Nappan, NS",681.5,1740.7,8.996,NS
Thomas 2016,"Nappan, NS",426.4,1733,7.331,NS
"Vessey, 2018","Nappan, NS",559.9,1654.2,9.9,NS
"Vessey, 2018","Nappan, NS",1861.1,612.4,21.75,NS
"Vessey, 2018","Nappan, NS",426.4,1733,19.55,NS
"Vessey, 2018","Nappan, NS",559.9,1654.2,5.35,NS
"Vessey, 2018","Nappan, NS",1861.1,612.4,19.16,NS
"Vessey, 2018","Nappan, NS",426.4,1733,16.42,NS
